round,avg,prox,sim
0,0.10686600221483941,0.10686600221483941,0.10686600221483941
1,0.19728682170542636,0.150609080841639,0.15498338870431894
2,0.28405315614617943,0.20049833887043192,0.20775193798449615
3,0.37547065337763014,0.2719822812846069,0.26904761904761904
4,0.42480620155038756,0.3246954595791805,0.3268549280177187
5,0.4662236987818384,0.37563676633444076,0.3945182724252492
6,0.49689922480620163,0.4135658914728682,0.45127353266888154
7,0.5301218161683278,0.456312292358804,0.5066998892580287
8,0.5513289036544851,0.4846622369878184,0.5493355481727576
9,0.570764119601329,0.5093023255813953,0.5907530454042083
10,0.588704318936877,0.5301218161683279,0.6199889258028792
11,0.6077519379844961,0.5534330011074197,0.6521594684385382
12,0.6207087486157252,0.5707641196013289,0.6713178294573644
13,0.6317829457364342,0.5864894795127353,0.6911406423034328
14,0.6397009966777407,0.5996124031007751,0.7073643410852712
15,0.6477851605758582,0.6109634551495017,0.725249169435216
16,0.6532668881506091,0.620874861572536,0.7402547065337762
17,0.6604097452934662,0.6337763012181619,0.7567552602436324
18,0.6623477297895903,0.6428017718715393,0.7708748615725362
19,0.6667774086378738,0.6513842746400886,0.7817829457364341
20,0.6704872646733112,0.658139534883721,0.7903100775193798
21,0.6742524916943521,0.6646179401993355,0.8044296788482836
22,0.6779069767441862,0.6698228128460686,0.8104651162790698
23,0.6820044296788482,0.6768549280177188,0.8137873754152825
24,0.6867663344407531,0.6838870431893688,0.8161129568106312
25,0.6909745293466224,0.6895348837209302,0.8234219269102991
26,0.6937430786267996,0.6973975636766335,0.8285714285714285
27,0.6987264673311187,0.7022702104097452,0.8290697674418606
28,0.703266888150609,0.7080287929125139,0.8312292358803987
29,0.7064784053156146,0.7134551495016611,0.832281284606866
30,0.7094130675526025,0.7184939091915836,0.833499446290144
31,0.7136212624584718,0.7230343300110741,0.8342746400885938
32,0.7163898117386488,0.7266888150609081,0.8348837209302326
33,0.7213178294573643,0.7311184939091916,0.8361572535991141
34,0.7244739756367663,0.7364341085271319,0.8365448504983389
35,0.7274640088593576,0.74296788482835,0.8370431893687708
36,0.7304540420819491,0.7461240310077519,0.8398671096345515
37,0.7317275747508305,0.7501107419712071,0.8409745293466224
38,0.733610188261351,0.7538759689922481,0.8414174972314508
39,0.7357142857142857,0.7580287929125138,0.8410299003322259
40,0.736655592469546,0.7620155038759691,0.8426356589147287
41,0.7392580287929125,0.7665559246954596,0.8454595791805093
42,0.7423034330011075,0.7696566998892581,0.8468992248062016
43,0.743798449612403,0.7721483942414176,0.8476190476190476
44,0.7460132890365447,0.774418604651163,0.8479512735326691
45,0.7475083056478405,0.7775747508305647,0.8476190476190476
46,0.749390919158361,0.7799557032115171,0.8468992248062016
47,0.7510520487264674,0.7829457364341087,0.8472868217054264
48,0.7537652270210411,0.7868770764119601,0.8476190476190476
49,0.7552602436323366,0.7900332225913621,0.850498338870432
50,0.7580287929125138,0.7925249169435217,0.8503322259136213
51,0.759468438538206,0.7947397563676635,0.851550387596899
52,0.7617386489479513,0.7977297895902546,0.8501107419712072
53,0.7645071982281285,0.8,0.8493909191583611
54,0.7672203765227021,0.8032115171650055,0.8484496124031008
55,0.7688815060908084,0.8050387596899224,0.8501661129568107
56,0.7711517165005538,0.8075304540420819,0.8509966777408637
57,0.7724806201550388,0.8102436323366555,0.8516057585825028
58,0.7746954595791806,0.8132890365448503,0.8518826135105204
59,0.7766888150609081,0.8150055370985602,0.8532668881506089
60,0.7776301218161684,0.8167220376522701,0.8529346622369878
61,0.7796788482834995,0.8182724252491694,0.8517165005537097
62,0.7821151716500554,0.8204872646733112,0.8513289036544851
63,0.7843853820598007,0.8217607973421929,0.8515503875968992
64,0.7863787375415283,0.8231450719822814,0.8523809523809524
65,0.7888704318936878,0.8241971207087487,0.8533776301218162
66,0.788372093023256,0.825249169435216,0.8553709856035437
67,0.7893687707641196,0.8265227021040974,0.8563676633444076
68,0.7904761904761906,0.8272978959025472,0.8575858250276854
69,0.7923034330011074,0.8287929125138428,0.8589147286821704
70,0.7946290143964563,0.8309523809523809,0.8598006644518272
