round,avg,prox,sim
0,0.13965714285714284,0.13965714285714284,0.13965714285714284
1,0.35908571428571434,0.32262857142857143,0.3546285714285714
2,0.42868571428571434,0.39611428571428575,0.41908571428571434
3,0.4848,0.44662857142857143,0.4678857142857143
4,0.5345142857142857,0.4931428571428571,0.5025142857142857
5,0.5705142857142858,0.5210285714285714,0.5578285714285715
6,0.6043428571428571,0.5509714285714286,0.5905142857142857
7,0.6247999999999999,0.5749714285714286,0.6264
8,0.6427428571428571,0.5922285714285714,0.6429714285714286
9,0.6729142857142857,0.6182857142857142,0.6677714285714286
10,0.6934857142857143,0.6427428571428572,0.6938285714285714
11,0.7197714285714286,0.6652571428571429,0.7114285714285714
12,0.7368,0.6838857142857142,0.7345142857142857
13,0.7586285714285715,0.7041142857142857,0.7518857142857142
14,0.7667428571428573,0.7217142857142856,0.7606857142857143
15,0.7782857142857145,0.7378285714285714,0.7798857142857144
16,0.787542857142857,0.7537142857142857,0.7949714285714286
17,0.8050285714285714,0.772457142857143,0.8068571428571429
18,0.8158857142857143,0.7844571428571429,0.8201142857142857
19,0.8266285714285714,0.7974857142857142,0.8246857142857144
20,0.8342857142857143,0.8037714285714286,0.8311999999999998
21,0.8396571428571429,0.8170285714285714,0.8341714285714286
22,0.8455999999999999,0.8248000000000001,0.8414857142857143
23,0.8521142857142857,0.8351999999999998,0.8462857142857142
24,0.856,0.8377142857142856,0.8466285714285716
25,0.8597714285714286,0.8430857142857143,0.8539428571428572
26,0.8624,0.8457142857142858,0.8569142857142856
27,0.8633142857142857,0.8493714285714287,0.8628571428571429
28,0.8666285714285714,0.8514285714285714,0.8628571428571429
29,0.8662857142857143,0.8550857142857143,0.8652571428571428
30,0.8690285714285715,0.8562285714285713,0.8670857142857143
31,0.8693714285714286,0.8596571428571428,0.8696
32,0.8702857142857144,0.8607999999999999,0.8729142857142858
33,0.8707428571428573,0.8627428571428573,0.8733714285714286
34,0.8736,0.8675428571428572,0.8746285714285715
35,0.8731428571428572,0.8670857142857141,0.8765714285714287
36,0.8738285714285713,0.8700571428571429,0.8755428571428572
37,0.8777142857142857,0.8723428571428572,0.8802285714285715
38,0.8780571428571428,0.8738285714285714,0.8835428571428572
39,0.8782857142857142,0.8754285714285714,0.8868571428571429
40,0.8802285714285715,0.8769142857142858,0.8873142857142857
41,0.8809142857142858,0.8778285714285714,0.8925714285714287
42,0.8820571428571429,0.8771428571428571,0.8956571428571429
43,0.8810285714285714,0.8789714285714285,0.8965714285714287
44,0.8834285714285713,0.8790857142857144,0.8978285714285713
45,0.884,0.8812571428571429,0.902057142857143
46,0.8844571428571428,0.881257142857143,0.9058285714285715
