round,avg,prox,sim
0,0.10736468500443656,0.10736468500443656,0.10736468500443656
1,0.5493877551020409,0.2987045252883762,0.5269210292812776
2,0.588890860692103,0.4537000887311447,0.5488198757763976
3,0.6124933451641527,0.5083939662821653,0.5590771960958296
4,0.6319432120674356,0.5220940550133096,0.5699378881987579
5,0.6501863354037266,0.52773735581189,0.5810115350488022
6,0.6649511978704525,0.5311446317657498,0.5907719609582964
7,0.6774090505767525,0.5336291038154393,0.6009937888198759
8,0.6871694764862466,0.5367879325643301,0.6100443655723159
9,0.6956166814551908,0.5388110026619343,0.6173558118899733
10,0.7048092280390418,0.5423957409050578,0.6253061224489797
11,0.7144631765749777,0.5459804791481812,0.6319432120674355
12,0.7219520851818989,0.5490683229813663,0.6384738243123336
13,0.7295119787045253,0.55226264418811,0.6441526175687667
14,0.7374622892635314,0.556131322094055,0.6497249334516415
15,0.7455545696539487,0.5592546583850931,0.6545519077196095
16,0.7527595385980479,0.5616681455190772,0.6602661934338954
17,0.7600709849157053,0.5647914818101154,0.6650576752440107
18,0.7663886424134871,0.5674889086069208,0.6693167701863354
19,0.7720319432120675,0.5708606921029281,0.6729724933451641
20,0.7786335403726709,0.573522626441881,0.6761668145519077
21,0.7837799467613131,0.5758651286601597,0.6788642413487133
22,0.7885714285714285,0.577639751552795,0.6825909494232475
23,0.7924401064773736,0.5795208518189885,0.6853593611357587
24,0.79527950310559,0.5819698314108253,0.6887666370896184
25,0.8001419698314107,0.5843478260869565,0.6919964507542146
26,0.8034782608695652,0.5876131322094055,0.6954037267080745
27,0.8064241348713398,0.5901330967169477,0.6976397515527951
28,0.809192546583851,0.5932209405501332,0.6995208518189885
29,0.8127772848269743,0.5953859804791481,0.7019343389529725
30,0.8153682342502218,0.5972670807453415,0.7044543034605147
31,0.8188464951197871,0.5992546583850931,0.7062999112688554
32,0.820798580301686,0.6013132209405501,0.7074001774622892
33,0.8236379769299024,0.6040106477373559,0.709849157054126
34,0.8257320319432121,0.6054658385093168,0.7114463176574978
35,0.828039041703638,0.6070275066548358,0.7133274179236914
36,0.8301685891748004,0.6083762200532387,0.7155634427684118
37,0.8310204081632653,0.6105767524401065,0.7176574977817214
