round,train_loss,train_acc,test_acc
58,1.0894751158831097,0.7143497757847533,0.7066730676908305
59,1.0668671563501582,0.7317825112107623,0.7186749879980797
60,1.0634597068009355,0.7153587443946189,0.7172347575612098
61,1.1787535208390165,0.6096973094170404,0.6135381661065771
62,1.0478570271701022,0.7388452914798206,0.7172347575612098
63,1.0452378273210718,0.7327914798206278,0.7244359097455593
64,1.0404830269883032,0.7496636771300449,0.742198751800288
65,1.0490894936726767,0.7318946188340807,0.7196351416226596
66,1.0254832081964464,0.7348094170403587,0.7325972155544888
67,1.0777621269627002,0.6781390134529148,0.6773883821411426
68,1.0301642642594506,0.7323991031390135,0.71483437349976
69,1.110509414952499,0.6446188340807175,0.642822851656265
70,1.0188917883943283,0.7495515695067264,0.7349975996159386
71,1.0513185212296756,0.708127802690583,0.7076332213154105
72,1.008055499018976,0.7530269058295964,0.7455592894863178
73,1.098904359247118,0.647982062780269,0.6557849255880941
74,1.1047096792190867,0.6387892376681614,0.6380220835333653
75,1.0396655038884537,0.7227578475336323,0.7239558329332694
76,1.0153357941974706,0.7082959641255605,0.6898703792606817
77,0.9926147901590897,0.7366031390134529,0.7201152184349496
78,0.9822030643109784,0.7344730941704036,0.7330772923667787
79,1.020316711646158,0.7160313901345291,0.7229956793086894
80,1.0097612926611184,0.6998318385650224,0.6922707633221316
81,0.9788926065268805,0.7422645739910314,0.7388382141142583
82,1.0036991383997313,0.7114910313901345,0.7042726836293807
83,0.976002743810148,0.7307735426008969,0.7162746039366299
84,0.9843280561468793,0.7072869955156951,0.6941910705712914
85,0.9657392820218085,0.7487668161434977,0.7369179068650984
86,0.9572863674584793,0.7422085201793722,0.7229956793086894
87,0.9768063836969068,0.7275784753363229,0.7124339894383102
88,0.9561583472290515,0.7491591928251121,0.7364378300528085
89,0.9420151494075899,0.751737668161435,0.7378780604896783
90,0.9676676611695856,0.7257286995515695,0.71483437349976
91,0.968899166296683,0.7352578475336323,0.7253960633701392
92,0.9964000955006868,0.7070627802690583,0.7018722995679308
93,1.144534575396255,0.592713004484305,0.5900144023043687
94,0.9170589602614999,0.7711322869955157,0.757081132981277
95,0.9650946196018313,0.6997757847533632,0.6865098415746519
96,0.9461241584655415,0.7316143497757848,0.7297167546807489
97,0.9334307582539427,0.7495515695067264,0.743158905424868
98,0.910541706288342,0.7652466367713004,0.7474795967354777
99,0.9378581318152325,0.7557174887892377,0.7518002880460873
100,0.939264250728782,0.7483744394618834,0.7349975996159386
101,1.0459127532744221,0.6612107623318386,0.6620259241478637
102,0.9038272648932821,0.7634529147982063,0.7537205952952473
103,0.9111067005738015,0.7539798206278027,0.743158905424868
104,0.9248314505584972,0.7617713004484304,0.7508401344215074
105,0.8989205561310989,0.7576233183856502,0.7527604416706674
106,0.8833867640606223,0.7725896860986547,0.7666826692270763
107,0.9749227498946168,0.6896860986547085,0.6932309169467115
108,0.9983375724588809,0.6914798206278027,0.7004320691310609
109,0.9014046869737685,0.746804932735426,0.7407585213634181
110,0.8949728728476661,0.753195067264574,0.7503600576092174
111,0.8895849595088595,0.7495515695067264,0.7393182909265482
112,0.8864686214335831,0.7534192825112107,0.7518002880460873
113,0.8851462652614432,0.7538677130044843,0.7513202112337974
114,0.9265675132668205,0.726457399103139,0.7119539126260201
115,0.8791072767378236,0.7635089686098655,0.7614018242918867
116,0.8805539467576641,0.7484865470852018,0.7455592894863178
117,0.8693074072706993,0.7695067264573991,0.7666826692270763
118,0.8795636746063494,0.7442825112107623,0.7335573691790687
119,0.8870058745897538,0.7497757847533633,0.7426788286125781
120,0.8805889137222895,0.747365470852018,0.7253960633701392
121,0.8620929212246775,0.7680493273542601,0.7580412866058569
