round,avg,prox,sim
0,0.09983913793437602,0.0998430141287284,0.09983913793437602
1,0.19298796441653582,0.15719518576661437,0.1989379227474465
2,0.2186328662519139,0.18673178673178675,0.35703626179816655
3,0.24948737329689713,0.22424171947981472,0.47979533693819415
4,0.29881969881969883,0.26790704885942984,0.5500668643525786
5,0.35224916177297133,0.3162199352675543,0.6149659863945578
6,0.41871039013896166,0.36516851754946994,0.6573405430548288
7,0.4712056902533092,0.412570498284784,0.6916022249355582
8,0.5089598232455376,0.4419598038645658,0.7210070352927496
9,0.5529546291451052,0.47181425276663375,0.7384305289067192
10,0.5857239762001667,0.5139368567939997,0.7665872046824428
11,0.6176599414694652,0.5475085760800046,0.7657460705079753
12,0.6410992887183364,0.5525708859042192,0.7767195767195768
13,0.6699885652266605,0.5666337190146714,0.7943833943833943
14,0.685706533325581,0.5988061321394654,0.8004418861561718
15,0.6956761051999146,0.6290908386146482,0.8097292478244859
16,0.7112506541077969,0.6392387154291918,0.8210593639165068
17,0.7231195612147993,0.6671473147663624,0.8231486326724422
18,0.7406477120762835,0.6668527239955813,0.8191057619629049
19,0.7549082310987072,0.7028974552784076,0.8266953505048742
20,0.760365912746865,0.718723956819195,0.8400876019923639
21,0.7743822315250887,0.7304378161521019,0.8363858363858364
22,0.7887939221272553,0.7402833498071595,0.84097525049906
23,0.7947942709847471,0.7481403957594434,0.8497044401806307
24,0.8018450685117352,0.7621799717037813,0.8571544857259142
25,0.8108300870205633,0.7662848615229568,0.8632711204139776
26,0.8150822722251293,0.765180146132527,0.8630269201697772
27,0.8106711630521154,0.7673469387755102,0.8563288563288562
28,0.8151326627517103,0.7656569180378704,0.8681396205205728
29,0.8194274860941527,0.7711843711843711,0.8620578715816811
30,0.8227455084597942,0.7720720196910673,0.8614376804852995
