round,avg,prox,sim
0,0.14617142857142856,0.14617142857142856,0.14617142857142856
1,0.19177142857142854,0.19279999999999997,0.1921142857142857
2,0.21177142857142858,0.19508571428571428,0.23862857142857138
3,0.22719999999999999,0.21085714285714285,0.24674285714285718
4,0.24902857142857146,0.2321142857142857,0.2578285714285714
5,0.27542857142857147,0.25097142857142857,0.28857142857142853
6,0.2955428571428571,0.27280000000000004,0.2854857142857143
7,0.3154285714285714,0.2973714285714286,0.3245714285714286
8,0.3273142857142857,0.3176,0.33714285714285713
9,0.3445714285714286,0.3232,0.34091428571428567
10,0.3565714285714286,0.3418285714285714,0.3620571428571428
11,0.36205714285714286,0.3510857142857143,0.38091428571428576
12,0.3733714285714285,0.36034285714285713,0.3872
13,0.38651428571428575,0.3706285714285715,0.3986285714285715
14,0.38582857142857147,0.3811428571428571,0.3947428571428571
15,0.3933714285714286,0.3952,0.4149714285714286
16,0.39714285714285713,0.39417142857142856,0.40994285714285716
17,0.40811428571428576,0.40114285714285713,0.43439999999999995
18,0.4078857142857143,0.40285714285714286,0.42857142857142855
19,0.4187428571428571,0.41279999999999994,0.42045714285714286
20,0.42239999999999994,0.4092571428571429,0.43588571428571427
21,0.4305142857142857,0.41565714285714284,0.44251428571428575
22,0.43439999999999995,0.42228571428571426,0.4413714285714286
23,0.43314285714285716,0.4250285714285715,0.4402285714285714
24,0.4325714285714286,0.4227428571428572,0.4530285714285715
25,0.444,0.4299428571428572,0.46399999999999997
26,0.4449142857142857,0.432,0.4579428571428572
27,0.4507428571428571,0.4346285714285714,0.4678857142857143
28,0.4498285714285714,0.4403428571428571,0.4638857142857143
29,0.44948571428571427,0.43657142857142855,0.4507428571428571
30,0.46399999999999997,0.43679999999999997,0.4794285714285715
31,0.46902857142857146,0.4497142857142858,0.48845714285714287
32,0.4762285714285714,0.45325714285714286,0.4819428571428571
33,0.47782857142857144,0.45840000000000003,0.48994285714285724
34,0.48205714285714296,0.46022857142857143,0.4940571428571429
35,0.48274285714285714,0.4621714285714285,0.5050285714285715
36,0.49131428571428576,0.46662857142857134,0.4988571428571429
37,0.49839999999999995,0.46994285714285716,0.5067428571428572
38,0.5017142857142857,0.4733714285714286,0.5173714285714285
39,0.5036571428571429,0.48091428571428574,0.5106285714285714
40,0.5116571428571428,0.4881142857142857,0.5066285714285714
41,0.5097142857142857,0.4898285714285715,0.5129142857142855
42,0.5096,0.4836571428571429,0.5221714285714285
43,0.5171428571428572,0.48834285714285713,0.5302857142857144
44,0.5211428571428572,0.48937142857142857,0.5214857142857143
45,0.5218285714285714,0.49062857142857136,0.5146285714285714
46,0.5282285714285713,0.4940571428571428,0.5324571428571429
47,0.5369142857142858,0.5033142857142857,0.5353142857142856
48,0.5390857142857145,0.4990857142857144,0.5282285714285715
49,0.5445714285714286,0.5008,0.524457142857143
50,0.5432,0.49851428571428563,0.521257142857143
51,0.5498285714285714,0.5057142857142857,0.547657142857143
52,0.5569142857142858,0.5116571428571429,0.5458285714285714
53,0.5544000000000002,0.5100571428571428,0.5348571428571428
54,0.5596571428571427,0.5138285714285714,0.5568000000000002
55,0.5565714285714285,0.5187428571428572,0.5632
56,0.5630857142857142,0.5214857142857142,0.5432000000000001
57,0.5673142857142858,0.5193142857142856,0.5478857142857144
58,0.5696000000000001,0.5234285714285715,0.5518857142857142
59,0.5765714285714285,0.5252571428571429,0.5508571428571429
60,0.5781714285714284,0.5283428571428571,0.5570285714285715
61,0.5849142857142857,0.5336000000000001,0.5651428571428572
62,0.5904,0.5304,0.5689142857142857
63,0.5925714285714286,0.5418285714285714,0.5660571428571429
64,0.6026285714285714,0.5428571428571429,0.5763428571428573
65,0.6081142857142858,0.5454857142857142,0.5880000000000001
66,0.6033142857142858,0.5486857142857143,0.5700571428571429
67,0.6081142857142857,0.5438857142857142,0.5829714285714288
68,0.609942857142857,0.5445714285714285,0.5977142857142858
69,0.6194285714285713,0.5540571428571428,0.5871999999999999
70,0.6179428571428571,0.5569142857142856,0.5824000000000001
71,0.6233142857142858,0.5576,0.612
72,0.6245714285714286,0.5585142857142856,0.5942857142857144
73,0.6271999999999999,0.5565714285714286,0.6010285714285715
74,0.6301714285714286,0.5629714285714285,0.6116571428571428
75,0.6346285714285714,0.5711999999999999,0.6033142857142856
76,0.6347428571428572,0.5653714285714285,0.6100571428571429
77,0.6362285714285715,0.5691428571428572,0.6049142857142858
78,0.6392,0.5773714285714285,0.6049142857142857
79,0.6371428571428571,0.5757714285714286,0.6130285714285714
80,0.6426285714285715,0.5741714285714286,0.6213714285714285
81,0.6461714285714285,0.5771428571428571,0.6304
82,0.6445714285714286,0.5764571428571428,0.6116571428571429
83,0.6499428571428572,0.5836571428571429,0.6164571428571428
84,0.6459428571428573,0.5887999999999999,0.6222857142857144
85,0.6552000000000001,0.5890285714285713,0.6235428571428571
86,0.6581714285714287,0.5868571428571429,0.6244571428571428
87,0.6633142857142857,0.5985142857142858,0.6449142857142858
88,0.6636571428571427,0.5930285714285716,0.6393142857142856
89,0.6652571428571429,0.5966857142857144,0.6456
90,0.6677714285714286,0.5993142857142857,0.6540571428571429
91,0.6723428571428571,0.6029714285714286,0.6537142857142857
92,0.6885714285714286,0.6081142857142857,0.6574857142857143
93,0.6846857142857142,0.6072,0.6361142857142857
94,0.6883428571428571,0.6095999999999999,0.6557714285714287
95,0.684457142857143,0.6100571428571429,0.6548571428571429
96,0.6929142857142857,0.6117714285714286,0.6540571428571429
97,0.6964571428571429,0.6222857142857143,0.6601142857142858
98,0.7044571428571428,0.6208000000000001,0.6748571428571429
99,0.6932571428571427,0.6194285714285713,0.6715428571428571
100,0.6932571428571428,0.6214857142857143,0.6708571428571428
101,0.7054857142857142,0.6249142857142858,0.6716571428571427
102,0.7165714285714285,0.6324571428571428,0.6901714285714285
103,0.7163428571428571,0.6325714285714286,0.6893714285714285
104,0.7164571428571429,0.6376,0.6778285714285714
105,0.7053714285714286,0.6341714285714285,0.6939428571428573
106,0.7142857142857143,0.64,0.6997714285714286
107,0.7166857142857144,0.6396571428571429,0.6905142857142857
108,0.7137142857142857,0.6394285714285715,0.6750857142857142
109,0.7157714285714286,0.6430857142857143,0.6837714285714286
110,0.7203428571428571,0.6458285714285715,0.6876571428571429
111,0.7204571428571428,0.6437714285714284,0.6874285714285714
112,0.718057142857143,0.6417142857142857,0.7008000000000001
113,0.7236571428571429,0.648457142857143,0.7092571428571429
114,0.7314285714285714,0.6499428571428572,0.6936
115,0.7369142857142856,0.6619428571428572,0.7092571428571429
116,0.7339428571428571,0.6593142857142857,0.7040000000000001
117,0.7401142857142857,0.6573714285714286,0.7065142857142858
118,0.7371428571428572,0.6555428571428572,0.7176000000000001
119,0.7366857142857143,0.6611428571428571,0.7161142857142857
120,0.7408,0.6622857142857144,0.7186285714285715
121,0.7411428571428572,0.6618285714285714,0.7288000000000001
122,0.7354285714285714,0.6635428571428571,0.7333714285714287
123,0.7349714285714286,0.6609142857142858,0.7160000000000001
124,0.7381714285714285,0.6702857142857143,0.7156571428571429
125,0.7394285714285715,0.672,0.7220571428571427
126,0.7491428571428572,0.675657142857143,0.7249142857142857
127,0.7468571428571428,0.6723428571428571,0.7219428571428571
128,0.7419428571428571,0.6737142857142858,0.7371428571428572
129,0.7407999999999999,0.6717714285714286,0.7459428571428571
130,0.7477714285714286,0.6757714285714286,0.7233142857142857
131,0.7502857142857143,0.6754285714285715,0.7153142857142859
132,0.753142857142857,0.6774857142857142,0.7286857142857144
133,0.7552000000000001,0.6788571428571428,0.7372571428571428
134,0.752,0.6762285714285714,0.7322285714285715
135,0.7517714285714286,0.684,0.7246857142857143
136,0.7545142857142857,0.6818285714285713,0.7261714285714285
137,0.7515428571428572,0.6813714285714286,0.7229714285714286
138,0.7502857142857143,0.6811428571428572,0.7246857142857144
139,0.7579428571428571,0.6813714285714285,0.7477714285714286
140,0.7518857142857143,0.6853714285714286,0.7529142857142858
141,0.7474285714285714,0.6814857142857144,0.7473142857142857
142,0.7476571428571428,0.6843428571428571,0.7485714285714287
143,0.753257142857143,0.6830857142857142,0.7369142857142856
144,0.754857142857143,0.6820571428571429,0.7433142857142858
145,0.7566857142857143,0.6806857142857142,0.7296
146,0.7505142857142856,0.6835428571428572,0.7321142857142858
147,0.7470857142857144,0.6806857142857143,0.7345142857142858
148,0.7512000000000001,0.6827428571428571,0.7505142857142858
149,0.7558857142857144,0.690057142857143,0.7505142857142857
150,0.7573714285714286,0.6870857142857142,0.7418285714285714
151,0.7556571428571428,0.6893714285714286,0.7594285714285713
152,0.7618285714285715,0.6932571428571429,0.7453714285714285
153,0.765257142857143,0.6940571428571428,0.7598857142857143
154,0.7667428571428571,0.6986285714285715,0.7660571428571428
155,0.772457142857143,0.6958857142857143,0.7529142857142858
156,0.7729142857142857,0.6959999999999998,0.7714285714285715
157,0.7740571428571427,0.7019428571428571,0.7704000000000001
158,0.7724571428571428,0.7024000000000001,0.7496
159,0.7767999999999999,0.7057142857142858,0.761257142857143
160,0.7789714285714288,0.7036571428571429,0.7651428571428571
161,0.7786285714285714,0.7058285714285715,0.769257142857143
162,0.7780571428571429,0.7066285714285714,0.7614857142857143
163,0.7826285714285713,0.7069714285714286,0.7620571428571429
164,0.7798857142857143,0.7118857142857142,0.7715428571428571
165,0.7789714285714284,0.7078857142857142,0.7614857142857143
166,0.7765714285714286,0.7083428571428569,0.7779428571428572
167,0.7774857142857142,0.7110857142857142,0.7664
168,0.774857142857143,0.7118857142857143,0.7503999999999998
169,0.7850285714285713,0.7194285714285714,0.7556571428571429
170,0.7865142857142857,0.7194285714285713,0.7676571428571428
171,0.7858285714285715,0.7193142857142858,0.7709714285714286
172,0.7892571428571429,0.7228571428571428,0.7718857142857143
173,0.7923428571428572,0.7249142857142857,0.7861714285714286
174,0.7934857142857142,0.7259428571428572,0.7879999999999999
175,0.7909714285714287,0.7277714285714287,0.7742857142857144
176,0.7930285714285715,0.7242285714285713,0.7730285714285715
177,0.7950857142857144,0.7315428571428572,0.7807999999999999
178,0.7969142857142857,0.7324571428571428,0.7932571428571429
179,0.7995428571428571,0.7345142857142858,0.7806857142857142
180,0.8011428571428572,0.7357714285714286,0.795657142857143
181,0.7945142857142857,0.7299428571428572,0.7785142857142857
182,0.8004571428571428,0.7329142857142857,0.7711999999999999
183,0.8000000000000002,0.7386285714285713,0.7796571428571429
184,0.8023999999999999,0.7404571428571428,0.7816
185,0.8037714285714286,0.7369142857142856,0.7930285714285713
186,0.8098285714285715,0.7435428571428572,0.7882285714285715
187,0.8048,0.7395428571428572,0.7869714285714285
188,0.8065142857142856,0.7373714285714285,0.7995428571428571
189,0.8107428571428573,0.7395428571428572,0.7984
190,0.8065142857142856,0.7403428571428571,0.7929142857142856
191,0.8091428571428572,0.7347428571428571,0.7750857142857143
192,0.8029714285714286,0.7364571428571429,0.7940571428571429
193,0.8070857142857142,0.7426285714285713,0.7865142857142857
194,0.8053714285714285,0.737257142857143,0.7931428571428571
195,0.8050285714285714,0.7400000000000001,0.7866285714285715
196,0.8069714285714286,0.7435428571428572,0.803542857142857
197,0.8085714285714285,0.7408,0.8107428571428572
198,0.8101714285714287,0.7418285714285715,0.7953142857142858
199,0.8121142857142857,0.7451428571428572,0.7995428571428572
200,0.8151999999999999,0.7477714285714285,0.8014857142857144
