round,train_loss,train_acc,test_acc
0,1.9445702951776394,0.14453961456102785,0.132
1,1.8235612350817156,0.4518201284796574,0.376
2,1.7672753303413473,0.3854389721627409,0.344
3,1.686936560483765,0.4593147751605996,0.424
4,1.5920286938005648,0.5995717344753747,0.584
5,1.541071387251133,0.6734475374732334,0.656
6,1.4853280974149194,0.6605995717344754,0.648
7,1.418166458734353,0.7098501070663812,0.676
8,1.3790161565616248,0.6755888650963597,0.672
9,1.3358599434445195,0.6605995717344754,0.656
10,1.2944332898556548,0.7119914346895075,0.684
11,1.2599414661686221,0.6723768736616702,0.672
12,1.229526800823416,0.69593147751606,0.688
13,1.1956755169198652,0.7312633832976445,0.724
14,1.1791477139552604,0.6862955032119914,0.692
15,1.1562551206388616,0.6895074946466809,0.7
16,1.1437112941093568,0.6820128479657388,0.684
17,1.1143519291913484,0.721627408993576,0.704
18,1.0909679578637157,0.7248394004282656,0.72
19,1.0648853315211977,0.7408993576017131,0.732
20,1.0417050577907543,0.7644539614561028,0.744
21,1.0131446311062868,0.8276231263383298,0.8
22,0.9998999357670226,0.8254817987152034,0.804
23,0.9866076874720208,0.8083511777301927,0.784
24,0.9629692762324336,0.8254817987152034,0.8
25,0.9428498796336912,0.8383297644539615,0.816
26,0.9302682882011319,0.8297644539614561,0.808
27,0.9140813417046688,0.8394004282655246,0.832
28,0.8980162260810619,0.8426124197002142,0.828
29,0.8803733318597398,0.8597430406852249,0.836
30,0.8683970790093154,0.8618843683083511,0.852
31,0.856729609808013,0.8533190578158458,0.832
32,0.8384743095465339,0.8661670235546038,0.86
33,0.8258646618758331,0.8747323340471093,0.868
34,0.8153575713361356,0.860813704496788,0.852
35,0.8036937138316973,0.8565310492505354,0.856
36,0.7904132741166386,0.8554603854389722,0.856
37,0.7832889533910813,0.854389721627409,0.86
38,0.7705610983504473,0.860813704496788,0.864
39,0.7636796284538776,0.8661670235546038,0.868
40,0.7555690313304517,0.8683083511777302,0.868
41,0.7438305036924636,0.8715203426124197,0.868
42,0.734517552197873,0.8854389721627409,0.868
43,0.7244202545993589,0.8886509635974305,0.88
44,0.7142492800919096,0.8961456102783726,0.888
45,0.7060943156065982,0.8961456102783726,0.888
46,0.6984725229170899,0.8982869379014989,0.892
47,0.6894774467263538,0.9047109207708779,0.892
48,0.6828469377832699,0.9057815845824411,0.892
49,0.6770266752522558,0.9068522483940042,0.892
50,0.671302751328884,0.8972162740899358,0.9
51,0.6611377938433174,0.9036402569593148,0.9
52,0.6560314500612672,0.8982869379014989,0.904
53,0.648167645873809,0.8940042826552462,0.9
54,0.6406218054558787,0.8832976445396146,0.888
55,0.6371615027302848,0.8865096359743041,0.888
56,0.6306445041164852,0.8897216274089935,0.892
57,0.6252780230895355,0.8854389721627409,0.888
58,0.6209451272062623,0.8940042826552462,0.9
59,0.6164336912254195,0.8993576017130621,0.896
60,0.6118056586837871,0.892933618843683,0.892
61,0.6067062804607048,0.8897216274089935,0.884
62,0.6019108899304647,0.8918629550321199,0.884
63,0.5983542776895923,0.8897216274089935,0.88
