round,train_loss,train_acc,test_acc
0,1.9445702951776394,0.14453961456102785,0.132
1,1.785277586039435,0.4796573875802998,0.404
2,1.7206980333338457,0.38650963597430404,0.376
3,1.6210994883829317,0.47644539614561027,0.456
4,1.5009805274213917,0.645610278372591,0.62
5,1.44169399295425,0.7205567451820128,0.732
6,1.3789961278693834,0.7366167023554604,0.752
7,1.3059710363121564,0.7226980728051392,0.696
8,1.2684884696113987,0.6809421841541756,0.676
9,1.225251660165746,0.6895074946466809,0.684
10,1.1787576478221942,0.7301927194860813,0.704
11,1.1402030979029882,0.7226980728051392,0.716
12,1.1077451084040473,0.7473233404710921,0.724
13,1.0708951461238576,0.7880085653104925,0.776
14,1.055771771315844,0.7334047109207709,0.728
15,1.0298477170681801,0.7826552462526767,0.764
16,1.019392331866687,0.7483940042826552,0.744
17,0.9854462888626266,0.778372591006424,0.76
18,0.9645528799716615,0.7955032119914347,0.772
19,0.9337927136227201,0.8126338329764454,0.808
20,0.9100931222038044,0.8404710920770878,0.824
21,0.8808138881684371,0.8629550321199143,0.844
22,0.8699752145010092,0.8565310492505354,0.832
23,0.8584688665141896,0.8211991434689507,0.796
24,0.8409588858325681,0.8361884368308351,0.828
25,0.821021142876378,0.8458244111349036,0.824
26,0.8134401967904552,0.8436830835117773,0.808
27,0.792939122614692,0.8479657387580299,0.828
28,0.7744081847257992,0.8533190578158458,0.848
29,0.7562736148050562,0.867237687366167,0.86
30,0.7456569342337532,0.8693790149892934,0.86
31,0.7365052879367191,0.8661670235546038,0.852
32,0.7169322744650044,0.8768736616702355,0.868
33,0.7037459162624286,0.8811563169164882,0.88
34,0.695907164229443,0.8822269807280514,0.872
35,0.6847714569730728,0.8661670235546038,0.86
36,0.6718240713249948,0.860813704496788,0.86
37,0.6666784159823199,0.860813704496788,0.856
38,0.6539290209143269,0.8650963597430407,0.864
39,0.6476903214284899,0.8715203426124197,0.868
40,0.6405233341155522,0.8725910064239829,0.876
41,0.6279268008706657,0.8886509635974305,0.88
42,0.6219524921294964,0.8854389721627409,0.88
43,0.6115162355996812,0.892933618843683,0.884
44,0.6017190262324295,0.9036402569593148,0.896
45,0.594820164718388,0.8972162740899358,0.892
46,0.5879593537581937,0.8993576017130621,0.892
47,0.5791860524110288,0.9057815845824411,0.896
48,0.5738971971007307,0.9068522483940042,0.9
49,0.5686223077920826,0.9025695931477516,0.9
50,0.563835550905295,0.8950749464668094,0.896
51,0.5537403947424455,0.9047109207708779,0.896
52,0.5496993475061157,0.9004282655246253,0.896
53,0.5434534350126918,0.8961456102783726,0.9
