round,train_loss,train_acc,test_acc
0,0.7052780472056966,0.43661971830985913,0.46153846153846156
1,0.691821168006306,0.523943661971831,0.5076923076923077
2,0.6881131412277759,0.5380281690140845,0.4846153846153846
3,0.673809986551043,0.5661971830985916,0.4846153846153846
4,0.6677451275603872,0.5661971830985916,0.5230769230769231
5,0.6577912249195743,0.647887323943662,0.47692307692307695
6,0.6505262712357749,0.6450704225352113,0.4846153846153846
7,0.6440263131974449,0.6676056338028169,0.46923076923076923
8,0.6368588892506881,0.6591549295774648,0.49230769230769234
9,0.6301750498758235,0.6985915492957746,0.47692307692307695
10,0.6255197462901263,0.6929577464788732,0.5
11,0.6276129346498301,0.6985915492957746,0.5
12,0.6207342367776683,0.6957746478873239,0.5076923076923077
13,0.6160895773222749,0.6957746478873239,0.5153846153846153
14,0.6123894646973677,0.7014084507042253,0.5461538461538461
15,0.6021137177944184,0.7098591549295775,0.5384615384615384
16,0.5906260022814844,0.7380281690140845,0.5384615384615384
17,0.5809874992135545,0.7323943661971831,0.5307692307692308
18,0.5752408690016034,0.7549295774647887,0.5384615384615384
19,0.5701532164929618,0.7633802816901408,0.5384615384615384
20,0.5657390351026831,0.7408450704225352,0.5846153846153846
21,0.5627544343051776,0.7464788732394366,0.5692307692307692
22,0.5609933508953578,0.7352112676056338,0.5461538461538461
23,0.5566459477367536,0.7436619718309859,0.5461538461538461
24,0.5503144374615709,0.7690140845070422,0.5692307692307692
25,0.5474815936995224,0.7718309859154929,0.5769230769230769
26,0.5436665654182434,0.7661971830985915,0.5615384615384615
27,0.5396591225560282,0.7661971830985915,0.5846153846153846
28,0.5382095071631419,0.7718309859154929,0.5538461538461539
29,0.5362802391740638,0.7774647887323943,0.5461538461538461
30,0.531353255434775,0.7774647887323943,0.5615384615384615
31,0.5284493103833265,0.7690140845070422,0.5769230769230769
32,0.5267316759891914,0.780281690140845,0.5692307692307692
33,0.5245855836381375,0.7718309859154929,0.5615384615384615
34,0.5232176485615717,0.7746478873239436,0.5615384615384615
35,0.5197217106399402,0.7690140845070422,0.5538461538461539
36,0.5160924068638976,0.7830985915492957,0.5538461538461539
37,0.5140595912513598,0.7830985915492957,0.5615384615384615
38,0.5097430625431975,0.7859154929577464,0.5923076923076923
39,0.5064402691915002,0.7971830985915493,0.5923076923076923
40,0.5026955353961864,0.7971830985915493,0.6076923076923076
41,0.4986270266519466,0.7943661971830986,0.5923076923076923
42,0.4971521499291272,0.7971830985915493,0.5923076923076923
43,0.4938437879085541,0.7887323943661971,0.6153846153846154
44,0.49148662354744654,0.7915492957746478,0.6
45,0.48991382344507833,0.7943661971830986,0.6
46,0.4888677030801773,0.8028169014084507,0.5923076923076923
